FULL NAME,AGE,GENDER,JOB TITLE/ ROLE,JOB FUNCTION,EMPLOYEE SIZE WORKS IN YOUR COMPANY,REMOTE POLICY,Tenure at Company (Months),Prior Remote Experience (years),Household Situation,Home Workspace,Hours worked per week,Productivity change (1 to 5),Tasks completed per week,Deep work hours per day,Work quality (self-rated 1 to 5),Interruptions frequency (1 - 5),Synchronous meetings per week,Average meeting length (Minutes),Response time to colleagues,Collaboration tools used,I have felt cheerful and in good spirits. (1 - 5),I have felt calm and relaxed. (1 - 5),I have felt active and vigorous. (1 - 5),I woke up feeling fresh and rested. (1 - 5),My daily life has been filled with things that interest me. (1 - 5),I feel emotionally exhausted by my work. (1 - 5),I feel tired after the workday. (1 - 5),I feel worn out because of my job. (1 - 5),Work-life balance satisfaction. (1 - 5),Sleep hours per night,Social isolation level (1 - 5),Awareness of monitoring,Was monitoring policy explained?,Trust in employer's data handling (1 - 5),Privacy concern matrix   [App usage logs],Privacy concern matrix   [Calendar metadata],Privacy concern matrix   [Email metadata],Privacy concern matrix   [Email content],Privacy concern matrix   [Keystrokes],Privacy concern matrix   [Screenshots],Privacy concern matrix   [Webcam images],Privacy concern matrix   [Location data],Privacy concern matrix   [Biometrics],What privacy controls would increase your willingness to share data?,Well_being_Score,Productivity_Score,Burnout_Score,Privacy_Concern_Score,All_Text_Data,GENDER_Encoded,JOB FUNCTION_Encoded,EMPLOYEE SIZE WORKS IN YOUR COMPANY_Encoded,REMOTE POLICY_Encoded,Household Situation_Encoded
Gashak Venkataraman,35,Male,Talent Acquisition Specialist,HR,5001+,Hybrid,113,5,With Children,Dedicated Room,19,2,1,8,5,4,10,141,<15 minutes,"zoom,email,jira,google meet",4,5,4,1,1,3,5,2,1,8,5,Not Sure,No,5,,,,,,,,,,,3.0,1.5,3.3333333333333335,,"Talent Acquisition Specialist zoom,email,jira,google meet",1,1,3,2,2
Hemant Mishra,33,Male,Program Manager,Software Development,1001-5000,Office- First,18,2,With Children,Co-Working Space,49,3,6,7,5,1,3,99,4-24 hours,"google meet,jira,slack,notion",3,5,5,5,5,4,2,4,4,9,5,No,Don't Know,3,,,,,,,,,,,4.4,4.5,3.3333333333333335,,"Program Manager google meet,jira,slack,notion",1,5,1,3,2
Kanith Mandal,39,Male,Embedded Systems Engineer,Operations,5001+,Hybrid,89,5,Shared Accommodation,Co-Working Space,38,2,3,7,4,3,5,63,<15 minutes,"notion,zoom,jira",2,2,5,2,5,4,1,3,5,6,4,No,Yes,5,,,,,,,,,,,3.2,2.5,2.6666666666666665,,"Embedded Systems Engineer notion,zoom,jira",1,2,3,2,1
Niev Wani,34,Male,Security Architect,Software Development,201-1000,Hybrid,91,1,Live Alone,Dedicated Room,41,5,7,4,4,2,2,95,>24 hours,"email,slack,google meet",5,3,3,5,2,2,3,5,1,7,3,No,No,4,,,,,,,,,,,3.4,6.0,3.3333333333333335,,"Security Architect email,slack,google meet",1,5,2,2,0
Denath Tripathi,46,Female,UI/UX Researcher,Design,01-Oct,Office- First,108,3,With Children,Dedicated Room,26,1,7,5,3,5,6,114,15-60 minutes,"MS teams,jira,zoom,asana,notion",5,1,5,1,4,1,5,3,4,7,5,Not Sure,No,2,,,,,,,,,,,3.2,4.0,3.0,,"UI/UX Researcher MS teams,jira,zoom,asana,notion",0,0,0,3,2
Laer Varma,45,Male,System Administrator,Operations,51-200,Flexible/ Variable,34,4,With Children,Dedicated Room,37,5,3,7,4,1,10,87,15-60 minutes,"asana,jira",2,2,2,3,2,5,5,1,4,8,4,Not Sure,Yes,3,,,,,,,,,,,2.6,4.0,3.6666666666666665,,"System Administrator asana,jira",1,2,4,0,2
Sasiv Chauhan,38,Female,Security Architect,Software Development,51-200,Hybrid,117,3,Live Alone,Dedicated Room,20,5,5,8,1,2,10,112,15-60 minutes,"jira,asana",1,3,1,3,1,5,1,1,4,8,3,Not Sure,Don't Know,1,,,,,,,,,,,2.4,5.0,2.3333333333333335,,"Security Architect jira,asana",0,5,4,2,0
Ganaaj Saraf,41,Male,Security Engineer,Software Development,1001-5000,Flexible/ Variable,63,5,With Children,Dedicated Room,45,2,6,5,5,2,9,119,<15 minutes,"google meet,jira,slack,email",1,1,3,1,2,2,1,4,3,7,4,Not Sure,Don't Know,4,,,,,,,,,,,1.8,4.0,2.3333333333333335,,"Security Engineer google meet,jira,slack,email",1,5,1,0,2
Laeth Gahlot,33,Male,Database Administrator (DBA),Operations,01-Oct,Fully Remote,123,4,Shared Accommodation,Shared Space(Kitchen/Living Room),38,2,2,6,1,1,4,63,4-24 hours,"email,jira",4,5,2,1,1,2,5,2,4,8,3,No,No,3,,,,,,,,,,,3.2,2.0,3.0,,"Database Administrator (DBA) email,jira",1,2,0,1,1
Vishesh Vankar,47,Male,Business Analyst,Software Development,51-200,Fully Remote,133,2,With Partner,Shared Space(Kitchen/Living Room),44,2,6,4,4,1,1,88,1-4 hours,"email,slack,notion,zoom,asana",1,2,3,2,5,1,4,5,3,7,5,Yes,No,3,,,,,,,,,,,2.2,4.0,3.3333333333333335,,"Business Analyst email,slack,notion,zoom,asana",1,5,4,1,3
Krvil Yadav,23,Female,Cloud Engineer,Operations,51-200,Flexible/ Variable,30,4,With Children,Shared Space(Kitchen/Living Room),49,1,2,5,5,5,7,146,1-4 hours,"slack,zoom,notion,asana,google meet",3,1,4,2,3,5,3,3,5,8,3,Yes,Don't Know,1,,,,,,,,,,,3.0,1.5,3.6666666666666665,,"Cloud Engineer slack,zoom,notion,asana,google meet",0,2,4,0,2
Sarak Asur,26,Male,AI Engineer,Software Development,51-200,Office- First,36,4,With Children,Desk In Shared Room,50,1,4,4,4,3,7,119,<15 minutes,"asana,google meet,notion,MS teams",3,2,5,4,2,3,5,3,2,6,2,Not Sure,Yes,1,,,,,,,,,,,3.2,2.5,3.6666666666666665,,"AI Engineer asana,google meet,notion,MS teams",1,5,4,3,2
Hamin Bagri,38,Male,Backup & Recovery Specialist,Operations,01-Oct,Flexible/ Variable,20,4,With Partner,Co-Working Space,24,3,2,8,2,2,9,133,<15 minutes,"notion,email,google meet,slack",2,1,4,2,1,3,1,4,4,6,5,Yes,No,4,,,,,,,,,,,2.6,2.5,2.6666666666666665,,"Backup & Recovery Specialist notion,email,google meet,slack",1,2,0,0,3
Suvir Panda / Pandi,30,Male,Platform Engineer,Operations,Nov-50,Fully Remote,5,5,Live Alone,Co-Working Space,41,1,3,4,5,1,5,86,>24 hours,"google meet,notion",5,2,1,4,4,1,5,5,3,7,3,No,No,5,,,,,,,,,,,3.0,2.0,3.6666666666666665,,"Platform Engineer google meet,notion",1,2,5,1,0
Shkath Saha,41,Male,Data Governance Specialist,Software Development,5001+,Hybrid,143,3,With Partner,Shared Space(Kitchen/Living Room),45,4,6,9,3,5,7,129,>24 hours,"jira,slack,asana,email,notion",4,4,5,1,2,2,3,3,5,7,3,Not Sure,Don't Know,5,,,,,,,,,,,3.8,5.0,2.6666666666666665,,"Data Governance Specialist jira,slack,asana,email,notion",1,5,3,2,3
Vinaaj Madamanchi,49,Male,Recruiter / Technical Recruiter,HR,Nov-50,Flexible/ Variable,48,5,Shared Accommodation,Shared Space(Kitchen/Living Room),29,4,2,8,1,5,1,144,4-24 hours,"google meet,zoom",5,1,5,4,1,4,2,3,2,7,1,Yes,Don't Know,1,,,,,,,,,,,3.4,3.0,3.0,,"Recruiter / Technical Recruiter google meet,zoom",1,1,5,0,1
Prkar Rao,23,Male,Pre-Sales Engineer,Sales,5001+,Fully Remote,50,5,Live Alone,Dedicated Room,32,2,3,8,4,2,5,64,15-60 minutes,"google meet,notion,jira",3,5,1,1,4,3,5,4,1,9,1,Not Sure,Don't Know,5,,,,,,,,,,,2.2,2.5,4.0,,"Pre-Sales Engineer google meet,notion,jira",1,4,3,1,0
Shak Pandey / Pande,28,Female,Product Owner,Product,Nov-50,Flexible/ Variable,68,5,With Partner,Desk In Shared Room,26,1,7,9,3,4,2,119,1-4 hours,"jira,zoom,MS teams,slack,google meet",1,3,5,2,3,4,2,2,4,8,3,Not Sure,Don't Know,1,,,,,,,,,,,3.0,4.0,2.6666666666666665,,"Product Owner jira,zoom,MS teams,slack,google meet",0,3,5,0,3
Havim Mochi,36,Male,Game Developer,Software Development,Nov-50,Fully Remote,50,4,With Partner,Desk In Shared Room,51,5,4,5,3,5,8,96,>24 hours,"jira,MS teams,email,zoom",2,1,3,2,2,2,4,3,3,7,3,Yes,No,2,,,,,,,,,,,2.2,4.5,3.0,,"Game Developer jira,MS teams,email,zoom",1,5,5,1,3
Viyak Varma,28,Male,Front-End Developer,Software Development,51-200,Office- First,89,3,With Partner,Dedicated Room,27,4,1,5,2,4,7,83,>24 hours,"notion,MS teams,asana,zoom,google meet",5,2,5,4,1,4,4,5,4,9,3,No,Yes,2,,,,,,,,,,,4.0,2.5,4.333333333333333,,"Front-End Developer notion,MS teams,asana,zoom,google meet",1,5,4,3,3
Advika Bandopadhyay,36,Female,Embedded Systems Engineer,Operations,51-200,Flexible/ Variable,101,2,Live Alone,Desk In Shared Room,40,2,7,8,3,2,10,85,15-60 minutes,"email,zoom",4,3,1,5,4,4,2,1,3,7,2,No,Don't Know,4,,,,,,,,,,,3.2,4.5,2.3333333333333335,,"Embedded Systems Engineer email,zoom",0,2,4,0,0
Tarath Rath,44,Female,Talent Acquisition Manager,HR,5001+,Hybrid,46,5,With Partner,Shared Space(Kitchen/Living Room),36,3,1,9,1,3,3,87,>24 hours,"jira,MS teams",1,3,4,4,4,1,5,4,4,7,2,No,No,5,,,,,,,,,,,3.2,2.0,3.3333333333333335,,"Talent Acquisition Manager jira,MS teams",0,1,3,2,3
Jhanvi Raghavan,41,Female,Product Manager,Product,1001-5000,Office- First,85,3,With Children,Co-Working Space,32,1,6,10,5,5,4,60,1-4 hours,"MS teams,asana,email,google meet,zoom",1,2,2,3,2,3,5,5,4,7,4,Yes,Yes,3,,,,,,,,,,,2.4,3.5,4.333333333333333,,"Product Manager MS teams,asana,email,google meet,zoom",0,3,1,3,2
Laam Saraf,36,Female,Penetration Tester / Ethical Hacker,Software Development,1001-5000,Hybrid,149,2,Shared Accommodation,Desk In Shared Room,49,2,7,5,2,5,11,93,1-4 hours,"google meet,MS teams,notion",4,3,2,5,3,4,2,1,1,9,2,Not Sure,No,4,,,,,,,,,,,3.0,4.5,2.3333333333333335,,"Penetration Tester / Ethical Hacker google meet,MS teams,notion",0,5,1,2,1
Gavit Pillai,31,Male,UI/UX Designer,Design,5001+,Hybrid,4,4,With Partner,Shared Space(Kitchen/Living Room),39,4,4,7,3,1,1,104,<15 minutes,"slack,zoom,google meet,asana,MS teams",1,5,5,1,2,5,4,1,3,9,1,Not Sure,Don't Know,3,,,,,,,,,,,3.0,4.0,3.3333333333333335,,"UI/UX Designer slack,zoom,google meet,asana,MS teams",1,0,3,2,3
Shsiv Gadkari,32,Male,QA Engineer / Test Engineer,Software Development,51-200,Hybrid,100,5,Live Alone,Shared Space(Kitchen/Living Room),49,1,4,6,4,4,5,72,1-4 hours,"jira,asana,zoom,MS teams,google meet",2,2,4,3,3,3,1,5,4,7,3,Not Sure,Don't Know,2,,,,,,,,,,,3.0,2.5,3.0,,"QA Engineer / Test Engineer jira,asana,zoom,MS teams,google meet",1,5,4,2,0
Shmik Razdan,39,Female,Pre-Sales Engineer,Sales,Nov-50,Hybrid,141,3,With Children,Desk In Shared Room,33,3,6,4,3,3,9,101,4-24 hours,"google meet,slack",3,4,1,1,2,2,1,3,2,8,2,Not Sure,No,1,,,,,,,,,,,2.2,4.5,2.0,,"Pre-Sales Engineer google meet,slack",0,4,5,2,2
Ritash Seethamraju,26,Female,QA Engineer / Test Engineer,Software Development,201-1000,Flexible/ Variable,139,5,With Children,Desk In Shared Room,24,4,1,5,3,5,2,60,>24 hours,"asana,MS teams",2,5,2,2,2,3,1,2,1,8,4,Yes,No,2,,,,,,,,,,,2.4,2.5,2.0,,"QA Engineer / Test Engineer asana,MS teams",0,5,2,0,2
Trisha Gosain,35,Female,Network Administrator,Operations,Nov-50,Flexible/ Variable,60,3,Shared Accommodation,Co-Working Space,25,4,7,7,3,1,6,71,15-60 minutes,"MS teams,slack,asana,email,jira",1,1,2,5,3,5,3,4,2,6,5,No,Don't Know,1,,,,,,,,,,,2.2,5.5,4.0,,"Network Administrator MS teams,slack,asana,email,jira",0,2,5,0,1
Dhiaj Raidas,47,Male,IT Support Specialist / Helpdesk,Software Development,5001+,Fully Remote,38,1,With Partner,Shared Space(Kitchen/Living Room),32,1,7,10,4,5,12,73,>24 hours,"zoom,notion,MS teams,jira",4,2,3,2,3,3,4,2,3,7,1,Yes,Don't Know,2,,,,,,,,,,,2.8,4.0,3.0,,"IT Support Specialist / Helpdesk zoom,notion,MS teams,jira",1,5,3,1,3
Niyaesh Mundra,29,Male,Security Architect,Software Development,01-Oct,Flexible/ Variable,119,5,With Children,Co-Working Space,20,3,1,4,2,4,12,61,4-24 hours,"jira,asana,google meet",2,4,2,2,4,2,5,1,3,9,1,Yes,Yes,3,,,,,,,,,,,2.6,2.0,2.6666666666666665,,"Security Architect jira,asana,google meet",1,5,0,0,2
Proya Rao,31,Female,Recruiter / Technical Recruiter,HR,5001+,Hybrid,142,2,Live Alone,Co-Working Space,33,1,1,8,5,5,12,72,15-60 minutes,"email,notion,zoom,slack",1,2,5,5,2,3,5,5,3,7,1,Yes,Don't Know,5,,,,,,,,,,,3.2,1.0,4.333333333333333,,"Recruiter / Technical Recruiter email,notion,zoom,slack",0,1,3,2,0
Shrath Pai,46,Male,Project Manager,Software Development,201-1000,Hybrid,90,5,Shared Accommodation,Co-Working Space,46,5,5,4,3,5,11,88,15-60 minutes,"slack,jira,email,MS teams,zoom",1,2,1,3,4,5,1,3,1,6,2,Yes,No,1,,,,,,,,,,,1.6,5.0,3.0,,"Project Manager slack,jira,email,MS teams,zoom",1,5,2,2,1
Arshash Goyal,36,Male,IT Operations Manager,Operations,Nov-50,Flexible/ Variable,104,2,Shared Accommodation,Desk In Shared Room,28,3,4,7,3,5,1,124,1-4 hours,"slack,zoom",3,2,2,5,1,3,2,1,5,8,2,No,Don't Know,1,,,,,,,,,,,3.4,3.5,2.0,,"IT Operations Manager slack,zoom",1,2,5,0,1
Krul Rayal,24,Female,VP of Engineering,Software Development,5001+,Fully Remote,150,3,With Children,Shared Space(Kitchen/Living Room),52,3,3,7,3,1,7,115,15-60 minutes,"slack,MS teams,notion,email",4,1,5,3,1,5,1,5,1,7,4,No,Don't Know,3,,,,,,,,,,,2.8,3.0,3.6666666666666665,,"VP of Engineering slack,MS teams,notion,email",0,5,3,1,2
Suyaaj Dwivedy,28,Male,Sourcer / Talent Sourcer,HR,5001+,Hybrid,76,5,Shared Accommodation,Co-Working Space,27,4,1,8,1,1,3,103,>24 hours,"slack,MS teams,jira",4,5,2,4,5,3,2,3,2,8,5,Yes,Don't Know,3,,,,,,,,,,,3.4,2.5,2.6666666666666665,,"Sourcer / Talent Sourcer slack,MS teams,jira",1,1,3,2,1
Dhsham Gopalakrishnan,34,Male,Storage Administrator,Operations,201-1000,Hybrid,69,3,With Children,Desk In Shared Room,28,4,2,7,3,1,1,146,>24 hours,"jira,zoom",2,5,3,5,5,4,2,2,5,7,1,Not Sure,No,4,,,,,,,,,,,4.0,3.0,2.6666666666666665,,"Storage Administrator jira,zoom",1,2,2,2,2
Suhana Chatterjee,34,Female,Network Administrator,Operations,201-1000,Flexible/ Variable,104,3,Live Alone,Shared Space(Kitchen/Living Room),20,1,5,5,5,3,10,108,>24 hours,"google meet,MS teams,asana,email,zoom",2,4,3,2,3,4,4,1,5,9,1,Yes,Don't Know,1,,,,,,,,,,,3.2,3.0,3.0,,"Network Administrator google meet,MS teams,asana,email,zoom",0,2,2,0,0
Kanar Khangar,46,Female,API Developer,Software Development,01-Oct,Flexible/ Variable,111,2,Live Alone,Desk In Shared Room,26,5,1,9,5,3,11,94,15-60 minutes,"MS teams,email,zoom",5,4,3,4,4,3,5,5,5,9,1,Not Sure,Yes,4,,,,,,,,,,,4.2,3.0,4.333333333333333,,"API Developer MS teams,email,zoom",0,5,0,0,0
Raosh Nadella,48,Female,Security Architect,Software Development,5001+,Fully Remote,18,1,Live Alone,Shared Space(Kitchen/Living Room),37,1,4,10,1,2,11,93,4-24 hours,"asana,zoom,slack,notion",4,1,3,4,5,3,1,5,1,9,4,Not Sure,Don't Know,2,,,,,,,,,,,2.6,2.5,3.0,,"Security Architect asana,zoom,slack,notion",0,5,3,1,0
Sheesh Chatterjee,36,Male,Cybersecurity Analyst,Software Development,51-200,Flexible/ Variable,31,2,With Children,Co-Working Space,23,1,6,4,2,5,1,76,15-60 minutes,"MS teams,email,zoom,jira,google meet",1,1,4,3,1,4,5,2,2,7,2,Not Sure,Don't Know,1,,,,,,,,,,,2.2,3.5,3.6666666666666665,,"Cybersecurity Analyst MS teams,email,zoom,jira,google meet",1,5,4,0,2
Gaviesh Vaswani,47,Male,Business Intelligence (BI) Analyst,Software Development,201-1000,Office- First,141,3,Shared Accommodation,Shared Space(Kitchen/Living Room),37,3,6,6,4,2,5,86,>24 hours,"email,zoom,slack,MS teams",5,5,2,4,1,3,5,1,3,7,2,Yes,No,3,,,,,,,,,,,3.8,4.5,3.0,,"Business Intelligence (BI) Analyst email,zoom,slack,MS teams",1,5,2,3,1
Nitah Gowda,32,Male,UI/UX Researcher,Design,1001-5000,Flexible/ Variable,129,2,With Partner,Co-Working Space,39,4,1,9,4,5,8,120,1-4 hours,"google meet,MS teams",3,4,5,4,1,1,4,4,4,6,4,Yes,Yes,5,,,,,,,,,,,4.0,2.5,3.0,,"UI/UX Researcher google meet,MS teams",1,0,1,0,3
Satar Qureshi,25,Male,Virtualization Engineer,Operations,1001-5000,Flexible/ Variable,119,4,Live Alone,Desk In Shared Room,51,4,4,6,5,3,7,137,<15 minutes,"notion,MS teams",5,1,2,3,3,2,3,5,1,8,4,Yes,Yes,1,,,,,,,,,,,2.4,4.0,3.3333333333333335,,"Virtualization Engineer notion,MS teams",1,2,1,0,0
Uma Joshi,36,Female,Full-Stack Developer,Software Development,51-200,Flexible/ Variable,3,1,Shared Accommodation,Co-Working Space,39,5,4,7,4,2,2,68,>24 hours,"email,zoom",1,4,2,4,4,4,1,2,4,9,5,Not Sure,No,4,,,,,,,,,,,3.0,4.5,2.3333333333333335,,"Full-Stack Developer email,zoom",0,5,4,0,1
Deshaan Bundela,39,Female,Network Engineer,Operations,201-1000,Office- First,157,2,Shared Accommodation,Shared Space(Kitchen/Living Room),30,3,4,8,5,5,3,149,4-24 hours,"notion,google meet,slack",5,3,5,3,4,2,4,4,4,8,5,Not Sure,No,5,,,,,,,,,,,4.0,3.5,3.3333333333333335,,"Network Engineer notion,google meet,slack",0,2,2,3,1
Saruv Singhal,31,Female,Automation Engineer,Software Development,Nov-50,Flexible/ Variable,110,5,With Children,Co-Working Space,34,5,4,10,1,1,3,83,4-24 hours,"slack,asana,zoom,jira",4,4,3,1,5,4,4,3,3,8,4,Not Sure,No,2,,,,,,,,,,,3.0,4.5,3.6666666666666665,,"Automation Engineer slack,asana,zoom,jira",0,5,5,0,2
Viruk Arora,38,Male,UI/UX Researcher,Design,5001+,Office- First,139,4,With Partner,Shared Space(Kitchen/Living Room),27,4,2,4,1,3,7,85,>24 hours,"google meet,asana,slack",1,5,1,1,5,2,4,5,4,7,5,No,Don't Know,2,,,,,,,,,,,2.4,3.0,3.6666666666666665,,"UI/UX Researcher google meet,asana,slack",1,0,3,3,3
Shtaaj Makwana,36,Female,Information Security Officer,Software Development,1001-5000,Office- First,22,4,With Partner,Dedicated Room,51,1,1,10,1,1,7,85,4-24 hours,"email,jira,asana,zoom,notion",5,4,1,1,1,3,4,4,2,8,4,Yes,Don't Know,5,,,,,,,,,,,2.6,1.0,3.6666666666666665,,"Information Security Officer email,jira,asana,zoom,notion",0,5,1,3,3
Taruth Barot,48,Female,Game Developer,Software Development,51-200,Flexible/ Variable,10,1,With Children,Dedicated Room,21,1,4,8,2,1,11,119,15-60 minutes,"zoom,google meet,jira,MS teams,asana",4,4,2,2,3,2,5,1,2,7,1,Not Sure,No,2,,,,,,,,,,,2.8,2.5,2.6666666666666665,,"Game Developer zoom,google meet,jira,MS teams,asana",0,5,4,0,2
Raoth Karmakar,41,Male,Cloud Security Engineer,Operations,01-Oct,Fully Remote,127,5,With Children,Shared Space(Kitchen/Living Room),37,3,5,5,3,3,10,61,>24 hours,"zoom,notion,MS teams,email",5,4,1,1,4,4,2,3,2,8,1,No,No,1,,,,,,,,,,,2.6,4.0,3.0,,"Cloud Security Engineer zoom,notion,MS teams,email",1,2,0,1,2
Tarush Agarwal,33,Female,Employer Branding Specialist,HR,1001-5000,Office- First,164,3,With Partner,Dedicated Room,32,2,2,5,1,2,9,88,>24 hours,"slack,notion,asana",2,2,3,1,3,1,1,5,5,8,1,Not Sure,No,3,,,,,,,,,,,2.6,2.0,2.3333333333333335,,"Employer Branding Specialist slack,notion,asana",0,1,1,3,3
Aav Kamble,28,Male,Security Manager,Software Development,1001-5000,Flexible/ Variable,101,5,Shared Accommodation,Desk In Shared Room,34,3,6,7,5,1,11,147,1-4 hours,"slack,google meet,MS teams",2,4,1,4,2,1,4,2,1,7,1,Yes,No,3,,,,,,,,,,,2.4,4.5,2.3333333333333335,,"Security Manager slack,google meet,MS teams",1,5,1,0,1
Prkat Deb,28,Male,Product Owner,Product,1001-5000,Flexible/ Variable,30,2,Shared Accommodation,Co-Working Space,33,2,2,6,3,1,2,127,4-24 hours,"notion,MS teams,email,google meet,slack",4,5,2,2,1,1,5,2,1,8,3,Yes,Yes,1,,,,,,,,,,,2.8,2.0,2.6666666666666665,,"Product Owner notion,MS teams,email,google meet,slack",1,3,1,0,1
Arkat Ilangovan,34,Male,Talent Acquisition Specialist,HR,5001+,Fully Remote,149,5,With Children,Shared Space(Kitchen/Living Room),25,5,4,5,1,1,4,75,15-60 minutes,"slack,notion,MS teams,asana,email",4,3,5,3,2,5,2,4,5,6,1,Not Sure,Yes,1,,,,,,,,,,,4.0,4.5,3.6666666666666665,,"Talent Acquisition Specialist slack,notion,MS teams,asana,email",1,1,3,1,2
Atash Khandelwal,23,Female,UI/UX Researcher,Design,1001-5000,Office- First,159,4,Live Alone,Dedicated Room,33,2,2,7,3,2,12,87,15-60 minutes,"asana,notion,slack",1,3,4,2,4,4,1,5,3,9,4,Yes,Yes,5,,,,,,,,,,,2.6,2.0,3.3333333333333335,,"UI/UX Researcher asana,notion,slack",0,0,1,3,0
Kritika Sreekumar,39,Female,Network Engineer,Operations,Nov-50,Office- First,136,4,Live Alone,Desk In Shared Room,47,4,2,6,3,3,9,104,4-24 hours,"google meet,email",2,3,2,1,4,2,1,4,3,9,1,No,Don't Know,3,,,,,,,,,,,2.2,3.0,2.3333333333333335,,"Network Engineer google meet,email",0,2,5,3,0
Prur Maheshwari,30,Male,Pre-Sales Engineer,Sales,5001+,Hybrid,158,2,With Partner,Desk In Shared Room,29,3,5,8,4,1,5,93,>24 hours,"MS teams,zoom,asana,google meet",3,3,1,2,2,1,5,2,5,9,3,Yes,No,3,,,,,,,,,,,2.8,4.0,2.6666666666666665,,"Pre-Sales Engineer MS teams,zoom,asana,google meet",1,4,3,2,3
Deyar Sodhi,43,Male,Application Security Engineer,Software Development,Nov-50,Flexible/ Variable,80,1,Live Alone,Desk In Shared Room,30,2,5,8,4,3,6,102,>24 hours,"asana,google meet,slack,zoom,notion",2,2,3,2,1,3,2,2,1,6,1,Yes,No,2,,,,,,,,,,,2.0,3.5,2.3333333333333335,,"Application Security Engineer asana,google meet,slack,zoom,notion",1,5,5,0,0
Suel Mahar,45,Male,Deep Learning Engineer,Software Development,Nov-50,Fully Remote,34,4,Shared Accommodation,Dedicated Room,23,1,5,7,4,2,2,95,4-24 hours,"google meet,email,notion",1,4,4,3,5,3,1,5,5,9,5,No,Yes,1,,,,,,,,,,,3.4,3.0,3.0,,"Deep Learning Engineer google meet,email,notion",1,5,5,1,1
Anaya Acharyya,47,Female,Data Governance Specialist,Software Development,1001-5000,Fully Remote,160,5,With Children,Co-Working Space,43,3,7,10,1,5,8,80,15-60 minutes,"email,MS teams,zoom,google meet",4,3,1,2,1,5,3,1,1,9,4,Yes,Don't Know,1,,,,,,,,,,,2.2,5.0,3.0,,"Data Governance Specialist email,MS teams,zoom,google meet",0,5,1,1,2
Suvit Gupta,24,Female,Back-End Developer,Software Development,Nov-50,Hybrid,152,5,Live Alone,Co-Working Space,39,5,5,5,5,5,11,132,>24 hours,"email,slack,notion,zoom,asana",4,5,2,2,2,2,3,1,5,7,5,Yes,No,3,,,,,,,,,,,3.6,5.0,2.0,,"Back-End Developer email,slack,notion,zoom,asana",0,5,5,2,0
Prkar Gohil,34,Female,Deep Learning Engineer,Software Development,51-200,Flexible/ Variable,147,1,Shared Accommodation,Desk In Shared Room,26,5,3,7,2,3,1,99,1-4 hours,"notion,email,asana",4,5,5,1,2,3,3,3,1,6,1,Not Sure,Don't Know,4,,,,,,,,,,,3.2,4.0,3.0,,"Deep Learning Engineer notion,email,asana",0,5,4,0,1
Lashaesh Mukherjee,41,Female,Automation Test Engineer,Software Development,Nov-50,Fully Remote,128,5,With Children,Desk In Shared Room,23,1,1,8,5,2,11,133,15-60 minutes,"google meet,zoom",3,3,1,4,4,2,2,4,1,7,1,Not Sure,Don't Know,1,,,,,,,,,,,2.4,1.0,2.6666666666666665,,"Automation Test Engineer google meet,zoom",0,5,5,1,2
Ramit Sreekumar,41,Male,Compliance & Risk Analyst,Software Development,51-200,Fully Remote,13,3,With Partner,Dedicated Room,49,1,2,5,5,2,4,128,>24 hours,"google meet,zoom",2,1,1,4,2,3,3,5,4,7,3,Not Sure,No,2,,,,,,,,,,,2.4,1.5,3.6666666666666665,,"Compliance & Risk Analyst google meet,zoom",1,5,4,1,3
Pallavi Havanur,39,Female,Mobile App Developer (iOS/Android),Software Development,1001-5000,Hybrid,23,4,With Children,Dedicated Room,28,5,2,7,2,3,3,91,<15 minutes,"google meet,zoom,asana",4,2,3,5,2,3,3,2,1,7,3,Not Sure,No,2,,,,,,,,,,,3.0,3.5,2.6666666666666665,,"Mobile App Developer (iOS/Android) google meet,zoom,asana",0,5,1,2,2
Vishansh Agarwal,25,Male,Cloud Engineer,Operations,1001-5000,Fully Remote,143,1,With Children,Shared Space(Kitchen/Living Room),31,2,6,8,3,1,3,99,>24 hours,"google meet,notion",5,3,2,5,3,5,1,4,2,7,3,Not Sure,Yes,2,,,,,,,,,,,3.4,4.0,3.3333333333333335,,"Cloud Engineer google meet,notion",1,2,1,1,2
Bhavya Garg,43,Female,Business Analyst,Software Development,51-200,Office- First,150,2,Live Alone,Co-Working Space,19,4,6,5,1,5,11,113,>24 hours,"MS teams,notion,jira,email,google meet",5,1,2,1,1,1,4,3,1,6,3,Yes,No,3,,,,,,,,,,,2.0,5.0,2.6666666666666665,,"Business Analyst MS teams,notion,jira,email,google meet",0,5,4,3,0
Aesh Venkatesan,38,Female,Tech Lead,Software Development,5001+,Office- First,52,5,Live Alone,Desk In Shared Room,26,1,6,10,1,4,8,65,>24 hours,"asana,google meet",1,2,5,3,2,4,2,4,5,9,3,Yes,No,3,,,,,,,,,,,3.2,3.5,3.3333333333333335,,"Tech Lead asana,google meet",0,5,3,3,0
Nimiv Bairwa,40,Male,Backup & Recovery Specialist,Operations,01-Oct,Flexible/ Variable,42,2,Shared Accommodation,Dedicated Room,41,4,6,6,1,3,11,93,15-60 minutes,"google meet,email",2,2,1,2,2,1,2,2,1,7,5,Yes,Don't Know,4,,,,,,,,,,,1.6,5.0,1.6666666666666667,,"Backup & Recovery Specialist google meet,email",1,2,0,0,1
